"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
1.04901,51.777874,178,2020-07-27,22,"OSY","St Osyth","Rural Background",42.3324016666667
-3.196527,55.657472,178,2020-07-27,23,"PEEB","Peebles","Urban Background",36.26041125
-4.142361,50.37167,178,2020-07-27,24,"PLYM","Plymouth Centre","Urban Background",40.6630804166667
0.678331,51.544166,178,2020-07-27,25,"SEND","Southend-on-Sea","Urban Background",36.0521833333333
1.463497,52.2944,178,2020-07-27,26,"SIB","Sibton","Rural Background",40.4227536363636
-2.175133,53.02821,178,2020-07-27,27,"STOK","Stoke-on-Trent Centre","Urban Background",38.2384445833333
-1.406878,54.88361,178,2020-07-27,28,"SUN2","Sunderland Silksworth","Urban Background",28.1365983333333
-3.022722,53.37287,178,2020-07-27,29,"TRAN","Wirral Tranmere","Urban Background",40.7600941666667
-2.030371,52.605641,178,2020-07-27,30,"WAL4","Walsall Woodlands","Urban Background",39.7920416666667
0.290917,52.2985,178,2020-07-27,31,"WFEN","Wicken Fen","Rural Background",36.24482375
-2.638139,53.54914,178,2020-07-27,32,"WIG5","Wigan Centre","Urban Background",36.230965
-3.2429,55.79216,179,2020-07-28,1,"ACTH","Auchencorth Moss","Rural Background",48.0243033333333
-1.874978,52.476145,179,2020-07-28,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",37.6958629166667
-3.205782,55.862281,179,2020-07-28,3,"BUSH","Bush Estate","Rural Background",50.30065
-1.560189,52.411628,179,2020-07-28,4,"COAL","Coventry Allesley","Urban Background",45.2448758333333
-3.182186,55.945589,179,2020-07-28,7,"ED3","Edinburgh St Leonards","Urban Background",45.3474329166667
-5.101102,56.82266,179,2020-07-28,8,"FW","Fort William","Suburban Background",54.8090979166667
-4.243631,55.865782,179,2020-07-28,9,"GLKP","Glasgow Townhead","Urban Background",41.8925245833333
-0.460861,51.49633,179,2020-07-28,10,"HIL","London Hillingdon","Urban Background",36.1672125
-0.341222,53.74878,179,2020-07-28,11,"HUL2","Hull Freetown","Urban Background",46.20877125
-1.127182,52.619904,179,2020-07-28,12,"LECU","Leicester University","Urban Background",38.7505366666667
-2.73684,52.221593,179,2020-07-28,13,"LEOM","Leominster","Suburban Background",48.0686529166667
-7.900328,54.43951,179,2020-07-28,14,"LN","Lough Navar","Rural Background",40.1454466666667
-2.238917,53.371722,179,2020-07-28,15,"MAHG","Manchester Sharston","Suburban Industrial",45.3786158333333
-2.237881,53.48152,179,2020-07-28,16,"MAN3","Manchester Piccadilly","Urban Background",34.0654908333333
-9.903917,53.326444,179,2020-07-28,17,"MH","Mace Head","Rural Background",56.1091070833333
